no,name,address,openingHours,numberOfCourts,district,city,phone,newDistrict,placeId
105,C/Lông Nguyễn Văn Huyên,"Trung tâm VHTT phường Nghĩa Đô, Số 85 Nguyễn Văn Huyên",05:30 - 22:00,,,Hà Nội,,,
106,C/Lông Trần Bình,"Số 1 Phố Trần Bình, P. Từ Liêm, Hà Nội (gần cầu vượt Mai Dịch)",05:30 - 23:00,,,Hà Nội,,Phường Từ Liêm,ChIJCQhOp7VUNDERjcK9HTPCbt4
107,Swin - THPT Cầu Giấy,"Số 8 ngõ 118 Nguyễn Khánh Toàn, Cầu Giấy, HN (trong trường)",05:00 - 23:30,,Quận Cầu Giấy,Hà Nội,,,
108,Đại Học Sư Phạm,"Nhà thi đấu ĐHSP HN, 136 Xuân Thủy, Cầu Giấy, Hà Nội",05:30 - 23:30,,Quận Cầu Giấy,Hà Nội,,,ChIJLy0gV0yrNTER6EvB0CfE9nQ
109,Us THCS Phương Canh,"392 đường Phương Canh, Phường Xuân Phương, Hà Nội",05:00 - 22:00,,Quận Nam Từ Liêm,Hà Nội,,,
110,Câu lạc bộ Tây Hồ,"Số 10 Thụy Khuê, Tây Hồ, Hà Nội",05:00 - 22:00,,Quận Tây Hồ,Hà Nội,,,
111,Goat Badminton Trịnh Văn Bô (đối diện FPT),"Trịnh Văn Bô (đối diện Cao đẳng FPT), Xuân Phương, Hà Nội",05:00 - 23:30,,Quận Nam Từ Liêm,Hà Nội,,,ChIJiTHrRgBVNDERm0KiI5t-dhs
112,Kim Cương - Hoàng Quốc Việt - CN2,"Ngõ 15 Đường 800A, Nghĩa Đô, Hà Nội",05:00 - 24:00,,Quận Cầu Giấy,Hà Nội,,,ChIJ38WFrPSrNTERI5UQWVegIw4
113,Level Pickleball & Badminton,"Level Fitness Center tầng 6 - Số 9 Phạm Văn Đồng, Mai Dịch",06:00 - 22:00,,Quận Cầu Giấy,Hà Nội,,,ChIJo_fnol5VNDERsACwa60Xldk
114,Đức Thảo 52 Tân Ấp,"52 Tân Ấp, Phúc Xá, Ba Đình, Hà Nội",05:00 - 23:00,,Quận Ba Đình,Hà Nội,,,ChIJQ8fmmSWrNTERxDS0QoLTyXM
115,Đĩnh Lê - Long Biên,"Đường Hồng Tiến, Ngọc Thụy, Long Biên",00:00 - 24:00,,Quận Long Biên,Hà Nội,,,
116,Ngọc Lâm,"481 Ngọc Lâm, Long Biên, Hà Nội - Cty Ga xe lửa Gia Lâm",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJTz5sXgCpNTERVr6SMNiKVG8
117,Hùng Hải Sport,"(Đường Hồng Tiến mới) Phố Nguyễn Thế Rục, Ngọc Thụy",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJNVWtIwCrNTER_gNiX-XsRFM
118,Mít Badminton,"481 Ngọc Lâm, Long Biên, Hà Nội",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJN61XuLSpNTERdnUO1LEKREk
119,Xoài Arena 2 - Cầu Lông - 481 Ngọc Lâm,"Ngõ 481 Ngọc Lâm, Long Biên, HN",05:00 - 24:00,,Quận Long Biên,Hà Nội,,,ChIJIUXqYoKpNTERMbN1gTiVsWo
